,Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
8372,32179,01/03/2019,24.99,-102.21,32179,-99.0,-99.0,Nazas Aguanaval,Bajada,29.84906,10.47571,-99.0,-99.0,19.30106,,,,,,0
8373,32179,02/03/2019,24.99,-102.21,32179,-99.0,-99.0,Nazas Aguanaval,Bajada,32.51477,10.64166,-99.0,-99.0,20.48508,,,,,,0
8376,32186,01/03/2019,22.67,-102.04,32186,-99.0,-99.0,El Salado,Bajada,27.67169,8.49734,-99.0,-99.0,17.32019,,,,,,0
8377,32186,02/03/2019,22.67,-102.04,32186,-99.0,-99.0,El Salado,Bajada,28.74628,9.72211,-99.0,-99.0,18.66199,,,,,,0
8378,32187,01/03/2019,22.6,-101.44,32187,-99.0,-99.0,El Salado,Bajada,28.77722,9.54459,-99.0,-99.0,18.09003,,,,,,0
8379,32187,02/03/2019,22.6,-101.44,32187,-99.0,-99.0,El Salado,Bajada,30.01608,10.70016,-99.0,-99.0,19.43024,,,,,,0
8388,MAPIMI,01/03/2019,26.6863888889,-103.7472222222,DG14,31.2,11.1,Mapimi,Bajada,28.82962,11.38351,-2.37038,0.28351,19.28009,20.9,29,883.3,0,270.1,1
8389,MAPIMI,02/03/2019,26.6863888889,-103.7472222222,DG14,32.9,13.6,Mapimi,Bajada,29.7515,11.99802,-3.1485,-1.60198,19.4556,23.2,23,882.8,0,265.2,1
8398,SONOYTA,01/03/2019,31.8652777778,-112.8469444444,SO09,27.1,11.2,Sonora Norte,Bajada,26.57507,11.21362,-0.52493,0.01362,18.08411,17.9,58,970.4,0,205,1
8399,SONOYTA,02/03/2019,31.8652777778,-112.8469444444,SO09,27.0,12.3,Sonora Norte,Bajada,26.03589,12.07239,-0.96411,-0.22761,18.46973,18.9,57,969.6,0,205.8,1
8486,SAN FELIPE,01/03/2019,31.0280555556,-114.8466666667,BC08,23.8,14.2,B.C. Noreste,Bajada,26.02136,12.5405,2.22136,-1.6595,18.61304,18.9,Null,1012,0,214.1,1
8487,SAN FELIPE,02/03/2019,31.0280555556,-114.8466666667,BC08,24.9,12.3,B.C. Noreste,Bajada,25.08029,15.17471,0.18029,2.87471,19.00397,18.5,Null,1010.9,0,202.8,1
8526,SO24,01/03/2019,29.05,-111.76,SO24,-99.0,-99.0,Sonora Sur,Bajada,29.6712,13.09625,-99.0,-99.0,19.82629,,,,,,0
8527,SO24,02/03/2019,29.05,-111.76,SO24,-99.0,-99.0,Sonora Sur,Bajada,28.77338,15.37122,-99.0,-99.0,20.24963,,,,,,0
8632,CD VICTORIA,01/03/2019,23.7422222222,-99.1697222222,TM32,33.0,18.4,San Fernando Soto La Mar.,Bajada,32.80975,16.30362,-0.19025,-2.09638,22.99695,25.1,71,975.4,0,220.6,1
8633,CD VICTORIA,02/03/2019,23.7422222222,-99.1697222222,TM32,34.7,17.4,San Fernando Soto La Mar.,Bajada,34.69879,16.22986,-0.00121,-1.17014,23.93054,25.3,69,974.6,0,240.1,1
8736,CABORCA,01/03/2019,30.7747222222,-112.4352777778,SO08,27.9,10.0,Sonora Norte,Bajada,27.48322,13.01624,-0.41678,3.01624,18.6723,18.5,57,992.8,0,211.7,1
8737,CABORCA,02/03/2019,30.7747222222,-112.4352777778,SO08,29.0,12.1,Sonora Norte,Bajada,27.95288,13.60199,-1.04712,1.50199,19.28168,20.2,52,992.4,0,224.8,1
8973,B ANGELES,01/03/2019,28.8963888889,-113.5602777778,BC05,24.1,16.1,B.C. Centro Este,Bajada,26.60141,11.8703,2.50141,-4.2297,18.55167,19.7,38,1012.7,0,250.8,1
8974,B ANGELES,02/03/2019,28.8963888889,-113.5602777778,BC05,30.8,18.8,B.C. Centro Este,Bajada,26.92706,14.17679,-3.87294,-4.62321,18.74438,25.3,23,1012,0,230.3,1
8977,SN FELIPESEMAR,01/03/2019,30.9930555556,-114.8286111111,BC12,23.1,13.9,B.C. Noreste,Bajada,25.7348,12.66226,2.6348,-1.23774,18.53058,17.6,51,1014.1,0,Null,1
